ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
124	23,17,10,13	59,35,41,41	6,7,13,12	51,38,37,36	159	149
126	18,23,25,32	0,0,0,3	19,10,16,5	0,2,0,0	378	149
127	31,18,21,32	2,2,1,3	28,13,8,9	0,0,2,1	208	149
129	124,137,94,102	9,1,0,4	47,43,45,49	0,0,0,0	208	149
130	10,4,3,0	70,61,45,52	1,1,1,1	24,19,29,29	165	149
131	35,28,37,33	893,965,1080,1010	10,11,16,19	436,404,347,394	160	149
132	12,16,23,15	4,2,7,8	3,2,8,7	5,3,5,2	160	149
134	15,13,29,5	2,0,2,0	1,3,3,0	0,0,0,0	211	149
135	50,34,38,43	0,0,0,0	20,12,9,4	0,0,2,0	510	149
136	53,35,39,43	4,7,8,11	20,12,9,4	3,2,2,9	510	149
139	513,365,370,353	0,0,1,0	394,401,371,383	0,0,0,0	406	149
140	107,77,69,62	1,0,0,0	62,73,55,63	0,0,0,0	646	149
143	29,26,25,20	0,0,0,1	22,17,9,16	0,0,0,0	799	149
145	0,0,1,2	10,4,9,6	1,5,0,2	1,1,3,2	184	149
146	5,6,9,3	40,58,58,45	7,13,8,8	93,79,82,91	184	149
147	0,2,1,0	0,0,0,0	36,46,34,54	5,2,1,2	2503	149
149	0,6,4,4	22,9,14,29	0,2,8,7	32,37,26,26	327	149
150	27,40,23,31	1,1,1,1	38,44,61,43	1,0,0,0	735	149
154	1,8,8,12	6,12,17,13	14,10,6,0	20,19,19,25	210	149
155	17228,10603,11221,11385	1,1,0,2	12976,13215,12684,12394	0,0,1,0	168	149
156	4,5,4,2	0,3,0,0	7,2,7,2	0,1,0,2	153	149
157	19,12,15,7	157,137,97,112	19,19,21,18	186,210,163,172	153	149
158	0,1,0,1	26,29,23,27	0,0,0,0	9,12,6,10	182	149
160	0,0,0,0	26,18,28,8	0,1,0,0	22,38,38,40	170	149
162	11,7,20,5	161,140,140,142	11,9,10,10	163,152,147,144	431	149
170	143,122,141,125	21,14,12,20	94,83,74,79	15,9,16,13	228	149
172	481,430,452,408	4,0,3,0	565,574,496,557	0,4,1,0	326	149
173	4,4,3,4	16,22,23,26	4,6,1,3	19,26,14,24	245	149
174	3,0,2,2	0,0,0,1	4,4,0,1	3,7,0,1	245	149
175	13,14,26,21	10,19,28,24	24,19,21,14	25,28,35,20	373	149
176	3,9,6,6	2,0,0,1	11,8,2,7	2,0,1,1	153	149
177	35,35,42,34	2,5,1,2	26,17,21,17	4,1,3,0	201	149
178	109,137,124,138	9,28,35,22	67,49,66,52	15,9,16,18	201	149
180	0,0,0,0	1,0,0,2	0,2,0,0	0,0,0,0	201	149
188	32,36,15,25	6,3,5,7	34,29,34,35	8,8,6,13	290	149
190	68,45,54,40	49,36,31,37	47,54,54,47	57,37,29,31	164	149
191	6,3,11,3	735,591,504,507	4,1,10,2	683,643,568,636	198	149
193	100,48,41,55	837,606,582,599	49,67,42,62	685,692,558,657	158	149
194	34833,25660,26247,22752	322,270,281,253	23559,24405,23257,24641	252,208,182,167	159	149
195	35,18,24,17	322,270,281,253	31,33,16,20	252,208,182,167	327	149
196	33,17,24,17	34831,25659,26247,22752	31,33,14,20	23559,24405,23255,24641	317	149
197	9,9,13,1	3,3,1,4	14,11,14,6	4,0,2,2	159	149
198	32822,23722,24375,22922	3,3,1,4	22744,23419,22957,23573	4,0,2,2	534	149
199	32820,23721,24375,22922	7,8,13,1	22744,23419,22955,23573	14,11,12,6	524	149
200	32532,24117,25607,23985	0,0,2,1	25221,25249,24737,24974	0,0,0,0	428	149
201	428,389,333,369	32478,24069,25551,23939	300,299,331,344	25183,25211,24708,24939	173	149
202	2,1,1,0	0,1,0,0	0,0,2,0	0,0,0,0	159	149
203	54,50,58,46	0,0,0,0	38,38,32,36	0,1,0,0	428	149
204	18758,15164,14352,13537	2,2,0,0	15334,15766,14256,15587	0,2,2,1	384	149
205	18,7,4,5	483,342,313,387	15,7,2,7	412,443,387,377	284	149
206	4,8,10,5	0,0,0,0	5,7,1,3	0,0,1,1	266	149
207	5,15,7,6	594,502,457,426	15,10,3,3	489,570,518,543	266	149
209	21,30,22,18	1,0,1,1	13,4,9,7	0,0,1,3	204	149
210	17,13,23,27	39,27,44,28	18,28,7,19	30,33,38,40	161	149
211	1279,920,896,837	39,27,44,28	1142,955,735,909	30,33,38,40	1563	149
212	1274,913,886,828	12,6,13,18	1137,942,732,903	13,15,4,13	1551	149
214	8,2,0,5	276,196,171,187	3,4,2,4	240,243,249,283	172	149
216	9783,6522,9205,8760	0,0,0,0	9936,9896,9390,9507	0,0,0,1	1386	149
217	4088,2703,3001,2902	8,6,7,3	3398,3450,3317,3532	6,8,2,9	211	149
218	1151,752,875,812	8,6,7,3	921,893,901,975	6,8,2,9	252	149
219	14,4,18,5	2951,1955,2144,2095	9,6,8,6	2486,2563,2424,2563	190	149
220	23,70,92,68	0,5,1,2	84,64,46,59	7,4,5,6	2099	149
221	66,72,28,36	424,329,263,261	63,81,58,51	321,320,317,308	1152	149
222	1954,1511,1668,1638	0,1,0,0	2158,1963,1784,1841	0,0,0,0	171	149
223	566,469,498,457	0,1,0,0	674,596,489,530	0,0,0,0	254	149
224	24,16,17,21	1412,1058,1187,1202	25,18,15,16	1509,1385,1310,1327	232	149
225	18,46,36,37	1551,1789,1895,1709	38,49,29,36	2101,2245,1938,1972	233	149
226	31,33,34,39	0,0,1,0	38,22,47,29	1,0,0,0	153	149
227	4,1,7,5	0,0,0,0	3,2,0,4	0,1,4,3	160	149
229	459,353,420,373	4,3,6,2	435,476,420,345	2,3,0,2	405	149
230	0,0,2,0	0,1,0,0	0,0,0,0	3,0,0,0	169	149
231	363,272,262,282	2,0,0,1	316,353,278,265	0,0,0,0	234	149
232	60,61,47,33	22,11,22,31	64,81,41,47	23,19,16,15	164	149
233	2,7,8,6	0,0,1,2	1,1,5,1	0,0,0,0	197	149
234	149,112,119,86	131,100,87,62	86,90,78,101	71,104,88,101	191	149
235	2,1,0,3	93,60,80,60	1,0,0,0	78,64,85,82	183	149
237	237,213,291,267	15,26,38,28	343,352,309,363	55,45,47,40	284	149
238	1,0,2,0	1,0,0,1	4,0,1,3	0,2,8,4	161	149
239	1,0,2,0	0,0,1,0	1,0,2,1	3,3,0,1	161	149
240	1,0,4,0	3,1,1,1	3,1,1,6	0,0,1,0	161	149
241	0,0,1,0	14,17,13,19	3,1,0,0	20,22,18,11	224	149
242	1,0,0,0	3,5,6,8	0,3,0,0	5,5,5,8	159	149
243	1,6,4,5	0,0,0,0	7,13,6,5	0,0,0,1	196	149
244	3,10,12,16	1,0,0,0	13,24,11,11	0,3,0,0	196	149
245	0,0,4,2	413,324,363,312	2,2,4,3	342,338,319,270	583	149
247	154,133,112,115	7,5,5,6	179,155,172,181	1,6,2,10	164	149
254	840,566,580,576	0,0,1,0	676,750,670,599	0,0,6,4	426	149
255	1814,1326,1473,1308	14,19,8,6	1182,1220,1012,1036	12,8,4,3	212	149
256	82,74,73,45	5,1,0,0	66,57,71,54	5,1,0,1	265	149
257	134,114,112,79	3,0,4,0	109,110,113,88	0,1,1,4	327	149
258	57,41,39,34	3,0,4,0	48,54,42,35	0,1,1,4	211	149
259	80,74,72,43	5,8,0,6	65,54,69,54	5,6,5,8	265	149
260	132,114,111,77	9,1,1,2	108,107,111,88	3,3,3,0	327	149
261	57,48,39,40	9,1,1,2	48,59,47,42	3,3,3,0	211	149
262	0,2,0,1	1464,970,1002,1041	3,5,2,0	843,924,775,870	805	149
263	206,150,141,120	18,15,11,18	117,105,112,129	14,11,17,19	824	149
264	1670,1118,1143,1160	18,15,11,18	957,1024,885,999	14,11,17,19	168	149
265	42,32,32,37	2,0,3,2	32,32,29,42	0,0,1,0	356	149
266	29,19,16,20	106,99,99,76	21,17,16,20	85,105,88,107	202	149
267	2066,1340,1441,1298	0,0,0,0	1758,1791,1662,1722	0,0,0,1	412	149
268	11,3,8,6	2864,2084,2207,2031	14,11,15,11	1971,2095,1902,2049	196	149
269	5,1,3,4	1,0,0,0	3,2,3,3	0,0,0,0	196	149
270	19909,15309,15443,13479	26,17,23,32	12860,13552,11994,12972	21,15,23,16	292	149
271	21491,16005,17179,14905	1,0,3,2	14045,14234,13475,13764	0,0,1,0	2091	149
272	32001,24206,26408,23429	531,411,460,353	21346,21780,20725,21499	305,361,350,293	200	149
273	239,182,159,150	2,0,1,0	284,320,271,333	5,5,0,0	153	149
274	18,18,21,22	1,0,3,1	14,8,6,8	1,1,0,1	159	149
275	180,169,180,181	271,291,261,255	130,134,82,104	133,158,188,130	159	149
277	3407,2876,3298,3274	0,1,0,0	3453,3398,3149,3168	0,0,1,0	541	149
278	3062,2511,2511,2309	159,134,140,134	2439,2638,2211,2432	91,94,67,73	159	149
279	1353,976,914,827	0,5,2,1	1047,1164,918,1086	0,2,3,3	330	149
280	30,22,23,19	0,1,0,0	52,47,38,46	2,3,1,0	487	149
283	2,7,2,0	0,0,1,0	23,59,26,34	3,1,2,0	532	149
284	42,33,26,18	0,0,0,2	60,64,55,38	0,1,3,3	578	149
285	65,94,56,36	5,0,0,0	121,135,119,79	2,2,3,0	1093	149
286	23,61,30,20	5,0,0,0	61,72,67,44	2,2,3,0	664	149
287	41,24,17,25	921,511,617,521	16,11,14,33	707,698,636,654	175	149
288	9,11,14,6	572,406,388,414	21,17,24,18	513,493,449,450	204	149
289	5,7,7,0	2,0,0,1	8,0,7,4	0,3,0,0	169	149
290	6,8,7,0	18,16,16,10	7,0,7,4	17,15,8,9	169	149
291	9,8,11,0	204,155,173,193	7,1,8,4	153,157,153,146	169	149
292	216,165,184,195	0,2,2,0	162,164,153,160	0,0,0,3	472	149
294	0,1,4,0	231,171,195,189	1,3,1,1	179,151,172,141	183	149
295	0,0,1,0	231,171,195,189	1,1,0,1	179,151,172,141	165	149
297	14,6,0,10	96,68,84,65	12,10,9,11	69,58,48,57	207	149
298	137,86,124,85	0,0,0,1	91,81,76,83	0,0,0,0	402	149
299	161,140,174,147	0,0,0,0	170,149,146,166	0,0,0,1	308	149
300	1,1,8,2	158,136,169,147	7,0,0,2	162,143,143,163	321	149
301	179,148,153,120	0,0,0,0	165,157,136,128	0,1,0,0	514	149
302	2385,1801,1617,1535	21,11,9,16	2002,2136,1843,1950	10,9,9,16	370	149
303	8,4,9,6	28,41,27,28	1,1,7,1	12,20,16,14	267	149
304	31,42,27,28	0,0,0,1	12,20,16,14	0,1,0,0	307	149
305	9,2,6,3	5,5,9,3	0,1,7,5	1,3,1,4	267	149
307	31,25,21,11	32,29,36,11	9,11,8,16	8,7,10,8	157	149
308	1,5,7,6	0,2,0,2	2,4,1,1	0,0,0,0	158	149
309	589,373,418,381	4,2,0,1	1008,997,880,932	0,8,4,4	264	149
310	6,31,19,30	11,33,14,13	62,57,32,39	24,44,18,28	396	149
311	13,38,18,23	4,5,0,2	34,59,25,40	2,4,3,3	209	149
313	138,94,137,94	2,0,0,0	160,153,126,128	4,1,0,0	324	149
314	389,310,341,305	0,0,0,1	301,274,251,317	0,0,0,0	220	149
315	285,209,224,225	14,11,3,15	216,213,172,225	7,16,9,17	165	149
316	104,87,71,82	196,131,103,109	84,79,59,84	127,94,145,105	153	149
317	6,4,0,1	0,0,0,0	1,2,3,1	2,0,0,1	153	149
325	0,0,0,1	5,4,6,5	3,0,2,1	3,7,4,5	209	149
326	0,0,1,1	43,33,25,38	3,2,3,3	54,50,31,56	226	149
327	5,4,7,5	43,33,25,38	3,9,5,7	54,50,31,56	166	149
328	0,1,1,0	0,0,1,0	4,3,0,1	0,0,0,0	269	149
331	1,2,1,6	0,1,6,2	2,5,2,2	3,3,0,0	227	149
333	1,3,2,1	0,0,0,0	20,11,11,12	0,0,0,1	187	149
334	0,0,1,1	11,11,18,2	3,1,0,4	17,17,18,19	304	149
335	32,46,54,45	32,36,50,39	59,40,32,43	30,34,37,27	153	149
336	521,319,352,374	0,0,0,0	334,379,316,359	1,0,0,0	2097	149
337	44,38,39,41	5,11,10,3	47,31,21,38	8,3,9,6	151	149
338	20,9,8,5	4894,3052,3512,3421	15,6,4,7	3401,3325,3455,3424	169	149
340	1,0,1,0	31,20,14,32	2,0,0,0	14,9,10,11	158	149
342	341,241,208,278	1,0,2,7	184,188,166,171	2,4,0,2	366	149
343	10,16,11,9	1,1,1,0	11,16,10,5	1,0,0,1	159	149
345	44,65,63,53	207,246,327,248	52,54,35,48	280,290,222,198	182	149
346	2276,1680,1729,1662	103,56,33,60	1601,1576,1448,1587	42,63,58,68	755	149
347	11,2,1,7	568,358,399,419	3,2,3,8	427,406,372,325	167	149
348	749,608,545,519	21,14,2,6	568,580,446,494	3,12,4,7	410	149
350	38984,27963,28209,26229	3,6,1,6	21504,20977,19321,21012	1,0,4,3	314	149
351	1,2,5,0	0,1,1,0	0,0,2,0	1,0,0,0	254	149
352	0,2,2,0	0,0,1,0	0,0,1,0	0,0,0,0	286	149
353	0,0,1,0	0,1,0,1	1,0,0,0	0,0,0,0	160	149
354	199,212,186,186	3,2,1,1	182,189,152,165	0,0,0,3	237	149
